"transactionDate","DPOZ","country","contractType","wayOfTrading","buySellIndicator","marketSegment","energyCommodity","deliveryStart","relativePeriod","periodLength","MTU/Load","noOfTransactions","noOfMPs"
"Y2025M02D16","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D17","D+1","D","GD","53","10"
"Y2025M01D26","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D26","D+0","[Other<D]","GD","32","9"
"Y2025M01D10","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D13","D+3","D","GD","9","7"
"Y2025M01D26","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D29","","All","GD","6","<6"
"Y2025M03D22","EU","EU","All","BROKERED and CLEARED on EXCHANGE","B","DayAhead and WithinDay","NG","Y2025M03D22","","All","GD","<6","<6"
"Y2025M02D13","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D13","D+0","[Other<D]","GD","94","20"
"Y2025M03D07","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D07","D+0","D","GD","49","7"
"Y2025M01D03","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D06","","All","GD","19","<6"
"Y2025M01D05","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D07","","All","GD","14","<6"
"Y2025M03D11","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D11","D+0","D","GD","40","9"
"Y2025M02D14","EU","EU","All","BROKERED and CLEARED on EXCHANGE","S","DayAhead and WithinDay","NG","Y2025M02D15","","All","GD","<6","<6"
"Y2025M01D03","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D06","D+3","D","GD","2371","95"
"Y2025M01D08","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D09","D+1","[Other<D]","GD","211","21"
"Y2025M01D19","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D20","D+1","D","GD","109","35"
"Y2025M01D13","EU","EU","All","BROKERED and CLEARED on EXCHANGE","S","DayAhead and WithinDay","NG","Y2025M01D14","","All","GD","<6","<6"
"Y2025M03D11","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D11","D+0","D","GD","30","6"
"Y2025M03D03","21Y000000000078W","FI","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D03","D+0","D","GD","15","7"
"Y2025M02D09","21Y000000000131H","EL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D10","D+1","D","GD","13","7"
"Y2025M02D14","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D16","D+2","D","GD","112","21"
"Y2025M02D28","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D03","D+3","D","GD","687","51"
"Y2025M03D16","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D15","","All","GD","7","7"
"Y2025M02D07","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D07","D+0","D","GD","59","10"
