"transactionDate","DPOZ","country","contractType","wayOfTrading","buySellIndicator","marketSegment","energyCommodity","deliveryStart","relativePeriod","periodLength","MTU/Load","noOfTransactions","noOfMPs"
"Y2025M02D07","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D08","D+1","D","GD","33","33"
"Y2025M02D16","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D17","D+1","D","GD","247","9"
"Y2025M01D26","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D27","D+1","D","GD","101","21"
"Y2025M01D28","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+0","D","GD","31","27"
"Y2025M01D07","21Y0000000001359","EE-LV","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D08","D+1","D","GD","13","6"
"Y2025M01D01","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D01","D+0","[Other<D]","GD","126","19"
"Y2025M01D06","21Y000000000078W","FI","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D06","D+0","D","GD","30","8"
"Y2025M01D21","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+1","D","GD","64","23"
"Y2025M01D27","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+1","D","GD","43","43"
"Y2025M02D03","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D03","D+0","D","GD","562","94"
"Y2025M02D26","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D26","D+0","D","GD","38","35"
"Y2025M02D05","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D06","D+1","D","GD","174","24"
"Y2025M03D12","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D12","D+0","[Other<D]","GD","251","35"
"Y2025M02D20","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D21","D+1","[Other<D]","GD","198","24"
"Y2025M01D12","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D12","","All","GD","55","21"
"Y2025M01D30","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D30","D+0","D","GD","76","7"
"Y2025M02D14","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D14","D+0","D","GD","528","69"
"Y2025M02D20","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D21","D+1","D","GD","261","29"
"Y2025M03D11","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D11","D+0","D","GD","77","18"
"Y2025M03D22","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D24","D+2","D","GD","38","10"
"Y2025M03D29","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D30","","All","GD","88","28"
"Y2025M01D03","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D04","","[Other<W]","GD","124","21"
"Y2025M01D30","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D30","D+0","D","GD","162","51"
"Y2025M03D20","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D21","D+1","D","GD","150","19"
"Y2025M01D24","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D25","","[Other<W]","GD","408","95"
"Y2025M01D22","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+0","[Other<D]","GD","397","50"
"Y2025M02D10","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D11","D+1","D","GD","426","51"
"Y2025M02D21","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D22","","[Other<W]","GD","862","55"
"Y2025M02D13","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D14","D+1","D","GD","2792","124"
"Y2025M02D19","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D19","D+0","D","GD","60","18"
"Y2025M02D22","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D22","D+0","D","GD","59","20"
"Y2025M02D22","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D23","D+1","[Other<D]","GD","62","11"
"Y2025M03D26","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D26","D+0","D","GD","12","8"
"Y2025M03D11","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D12","D+1","D","GD","2195","111"
"Y2025M03D15","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D15","D+0","D","GD","22","7"
"Y2025M02D20","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D20","D+0","D","GD","36","33"
"Y2025M01D09","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D10","D+1","D","GD","419","45"
"Y2025M02D02","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D02","D+0","D","GD","39","8"
"Y2025M01D24","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D25","","[Other<W]","GD","437","46"
"Y2025M01D31","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D02","D+2","D","GD","31","18"
"Y2025M02D18","21Y000000000078W","FI","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D18","D+0","D","GD","23","6"
"Y2025M03D07","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D08","","[Other<W]","GD","64","15"
"Y2025M03D24","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D24","D+0","D","GD","149","48"
"Y2025M01D04","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D04","D+0","[Other<D]","GD","156","24"
"Y2025M01D04","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D04","D+0","D","GD","126","21"
"Y2025M02D08","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D08","D+0","D","GD","50","11"
"Y2025M03D14","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D15","","All","GD","66","30"
"Y2025M03D21","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D22","","[W<Other<M]","GD","10","6"
"Y2025M02D05","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D05","","All","GD","94","17"
"Y2025M02D01","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D02","D+1","D","GD","73","16"
"Y2025M01D16","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D17","D+1","D","GD","384","33"
"Y2025M02D16","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D17","D+1","[Other<D]","GD","65","17"
"Y2025M02D05","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D06","D+1","D","GD","50","46"
"Y2025M03D23","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D23","","All","GD","77","26"
"Y2025M03D26","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D27","D+1","D","GD","776","42"
"Y2025M03D19","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D19","D+0","[Other<D]","GD","313","22"
"Y2025M02D03","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D04","D+1","D","GD","393","47"
"Y2025M02D11","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D12","D+1","D","GD","523","34"
"Y2025M01D31","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D31","D+0","D","GD","57","19"
"Y2025M02D09","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D09","D+0","D","GD","384","25"
"Y2025M01D10","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D11","D+1","D","GD","173","29"
"Y2025M01D23","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D24","D+1","D","GD","432","47"
"Y2025M01D23","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D24","D+1","D","GD","432","47"
"Y2025M02D14","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D15","D+1","D","GD","172","39"
"Y2025M03D07","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D08","","[Other<W]","GD","2068","83"
"Y2025M03D07","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D07","D+0","D","GD","286","64"
"Y2025M03D19","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D20","D+1","D","GD","469","32"
"Y2025M03D20","EU","EU","All","BROKERED and CLEARED on EXCHANGE","S","DayAhead and WithinDay","NG","Y2025M03D21","","All","GD","<6","<6"
"Y2025M03D14","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D14","D+0","D","GD","464","27"
"Y2025M03D30","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D30","D+0","[Other<D]","GD","50","7"
"Y2025M03D23","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D24","D+1","D","GD","189","25"
"Y2025M01D13","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D14","D+1","D","GD","783","44"
"Y2025M01D03","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D06","D+3","D","GD","292","15"
"Y2025M02D14","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D17","D+3","D","GD","370","41"
"Y2025M01D30","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D31","D+1","[Other<D]","GD","101","21"
"Y2025M02D28","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D01","","[Other<W]","GD","457","41"
"Y2025M03D11","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D12","D+1","D","GD","3108","85"
"Y2025M01D15","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D17","","All","GD","17","8"
"Y2025M01D03","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D04","","[Other<W]","GD","124","18"
"Y2025M01D04","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D06","D+2","D","GD","43","12"
"Y2025M01D31","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D03","D+3","D","GD","302","86"
"Y2025M01D29","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D30","D+1","D","GD","432","50"
"Y2025M02D16","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D17","D+1","D","GD","40","18"
"Y2025M01D08","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D09","D+1","D","GD","3095","88"
"Y2025M02D10","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D11","D+1","D","GD","879","25"
"Y2025M02D17","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D17","D+0","[Other<D]","GD","888","54"
"Y2025M02D27","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D27","D+0","D","GD","166","44"
"Y2025M03D07","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D10","D+3","D","GD","549","43"
"Y2025M03D24","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D25","D+1","D","GD","79","28"
"Y2025M03D12","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D13","D+1","D","GD","573","49"
"Y2025M03D14","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D14","D+0","[Other<D]","GD","14","8"
"Y2025M03D26","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D26","D+0","D","GD","108","29"
"Y2025M03D25","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D26","D+1","D","GD","3328","84"
"Y2025M01D23","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D24","D+1","D","GD","52","45"
"Y2025M01D05","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D06","D+1","D","GD","182","42"
"Y2025M01D15","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D16","D+1","D","GD","2952","85"
"Y2025M01D15","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D15","","All","GD","190","35"
"Y2025M01D05","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D05","D+0","[Other<D]","GD","92","15"
"Y2025M01D21","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+1","D","GD","153","40"
"Y2025M01D20","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D21","D+1","D","GD","1177","58"
"Y2025M02D18","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D19","D+1","D","GD","495","39"
"Y2025M03D04","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D05","D+1","D","GD","76","34"
"Y2025M03D11","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D12","D+1","D","GD","2195","97"
"Y2025M03D22","21Y0000000001359","EE-LV","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D22","D+0","D","GD","30","6"
"Y2025M03D20","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D21","D+1","D","GD","519","47"
"Y2025M01D02","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D02","D+0","D","GD","165","45"
"Y2025M01D10","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D13","D+3","D","GD","2747","116"
"Y2025M02D25","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D26","D+1","D","GD","439","100"
"Y2025M03D13","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D14","D+1","D","GD","2917","83"
"Y2025M03D18","21Y---A001A010-A","IT","AU","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D19","D+1","D","GD","46","18"
"Y2025M01D16","21Z000000000520T","LT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D17","D+1","D","GD","25","10"
"Y2025M01D28","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+0","D","GD","99","42"
"Y2025M01D16","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D16","D+0","D","GD","28","12"
"Y2025M02D08","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D08","D+0","[Other<D]","GD","408","33"
"Y2025M01D13","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D14","D+1","D","GD","475","104"
"Y2025M01D20","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D20","","All","GD","135","19"
"Y2025M02D08","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D09","D+1","D","GD","142","40"
"Y2025M02D15","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D15","D+0","[Other<D]","GD","237","24"
"Y2025M01D23","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D24","D+1","D","GD","128","19"
"Y2025M01D07","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D07","D+0","D","GD","92","26"
"Y2025M01D15","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D16","D+1","D","GD","2713","122"
"Y2025M01D15","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D16","D+1","D","GD","539","49"
"Y2025M01D31","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D31","D+0","[Other<D]","GD","122","31"
"Y2025M01D29","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D30","D+1","D","GD","1656","89"
"Y2025M01D26","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D27","D+1","[Other<D]","GD","27","11"
"Y2025M02D04","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D05","D+1","D","GD","432","53"
"Y2025M02D17","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D18","D+1","[Other<D]","GD","123","20"
"Y2025M02D18","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D19","D+1","D","GD","284","46"
"Y2025M02D07","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D10","D+3","D","GD","2621","87"
"Y2025M02D26","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D27","D+1","D","GD","506","100"
"Y2025M03D21","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D24","D+3","D","GD","2219","94"
"Y2025M03D14","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D15","D+1","[Other<D]","GD","59","17"
"Y2025M03D05","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D05","D+0","[Other<D]","GD","241","27"
"Y2025M01D03","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D04","","[Other<W]","GD","386","37"
"Y2025M01D21","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+1","D","GD","99","29"
"Y2025M01D11","21Y000000000079U","LT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D11","D+0","D","GD","26","9"
"Y2025M01D21","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+1","D","GD","1027","59"
"Y2025M01D23","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D23","D+0","[Other<D]","GD","17","7"
"Y2025M01D07","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D08","D+1","[Other<D]","GD","56","16"
"Y2025M01D17","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D17","D+0","[Other<D]","GD","838","51"
"Y2025M02D17","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D17","","All","GD","77","18"
"Y2025M02D15","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D15","D+0","[Other<D]","GD","28","10"
"Y2025M02D17","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D18","D+1","D","GD","564","103"
"Y2025M02D09","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D09","D+0","[Other<D]","GD","117","20"
"Y2025M02D18","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D19","D+1","[Other<D]","GD","120","19"
"Y2025M02D20","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D20","D+0","[Other<D]","GD","605","46"
"Y2025M03D14","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D17","D+3","D","GD","420","38"
"Y2025M01D03","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D04","","[Other<W]","GD","482","47"
"Y2025M03D09","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D10","D+1","D","GD","86","21"
"Y2025M03D18","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D19","D+1","D","GD","715","45"
"Y2025M03D21","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D22","","All","GD","101","24"
"Y2025M03D21","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D21","D+0","D","GD","58","14"
"Y2025M03D06","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D07","D+1","D","GD","716","52"
"Y2025M02D09","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D12","","All","GD","10","<6"
"Y2025M01D09","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D10","D+1","D","GD","698","41"
"Y2025M01D02","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D03","D+1","D","GD","583","55"
"Y2025M01D28","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+0","[Other<D]","GD","209","32"
"Y2025M01D24","EU","EU","All","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D25","","All","GD","145","45"
"Y2025M02D10","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D11","D+1","D","GD","2683","119"
"Y2025M02D17","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D18","D+1","D","GD","192","22"
